source,target,value
"bergh, m.a. (maarten) van den","rembrandt, vereniging/adviesraad",1
"berndsen, l.j.m. (leo)",rabobank groep/raad van commissarissen,1
"bodt, h. (henk)",asml/raad van commissarissen,4
"bodt, h. (henk)",dsm/raad van commissarissen,3
"bodt, h. (henk)",delft instruments/raad van commissarissen,1
"bodt, h. (henk)",csm/raad van commissarissen,1
"boer, r.h. (roelf) de",vno-ncw/dagelijks bestuur,1
"boer, r.h. (roelf) de",ndl/bestuur,1
"boer, r.h. (roelf) de",verkeer&waterstaat/nationale havenraad,1
"bolkestein, f. (frits)",nexus/adviesraad,1
"bolkestein, f. (frits)",dnb/raad van commissarissen,1
"bolkestein, f. (frits)",telder/curatorium,1
"boll, j.m. (jan maarten)",kunstbezit/bestuur,4
"boll, j.m. (jan maarten)","rembrandt, vereniging/bestuur",4
"boll, j.m. (jan maarten)",concertgebouworkest/bestuur,1
"boll, j.m. (jan maarten)",raad van state/raad,1
"bolland, m.j. (marc)",kamer van koophandel (us)/board,1
"bolland, m.j. (marc)",heineken/raad van bestuur,1
"borstlap, h. (hans)",raad van state/raad,1
"borstlap, h. (hans)",uvt (tilburg)/stichtingsbestuur,1
"bouw, p. (pieter)",nuon/raad van commissarissen,1
"bouw, p. (pieter)",csm/raad van commissarissen,4
"bouw, p. (pieter)",océ/raad van commissarissen,1
"bouw, p. (pieter)",vu/raad van toezicht,4
"bouw, p. (pieter)",dnb/bankraad,4
"bouw, p. (pieter)",vumc/raad van toezicht,4
"breimer, d.d. (douwe)",algemene zaken/innovatieplatform,1
"breimer, d.d. (douwe)",vsnu/algemeen bestuur,1
"breimer, d.d. (douwe)",nftw/forum,1
"breimer, d.d. (douwe)",veerstichting/commissie,1
"breimer, d.d. (douwe)",rul (leiden)/college van bestuur,4
"brentjens, j.l. (joep)",vnu/raad van commissarissen,1
"brentjens, j.l. (joep)",van leer/bestuur,1
"brentjens, j.l. (joep)",océ/raad van commissarissen,4
"brentjens, j.l. (joep)",radboud universiteit/stichtingsbestuur,4
"brentjens, j.l. (joep)",arboned/raad van commissarissen,5
"brink, r.g.c. (dolf) van den",nijenrode/stichtingsbestuur,4
"brink, r.g.c. (dolf) van den",arbo unie/raad van commissarissen,4
"brink, r.g.c. (dolf) van den",stedelijk museum amsterdam/bestuur,4
"brink, r.g.c. (dolf) van den",oranje fonds/bestuur,2
"brinkman, l.c. (elco)",muziektheater/bestuur,1
"brinkman, l.c. (elco)",ser/raad,1
"brinkman, l.c. (elco)",opera/bestuur,1
"brinkman, l.c. (elco)",vno-ncw/dagelijks bestuur,1
"brinkman, l.c. (elco)",vu/raad van toezicht,3
"brinkman, l.c. (elco)",vumc/raad van toezicht,3
"brinkman, l.c. (elco)",avbb/bestuur,4
"brinkman, l.c. (elco)",abp/bestuur,4
"brinkman, l.c. (elco)",rode kruis/bestuur,4
"brinkman, l.c. (elco)",binnenlandse zaken/programma andere overheid: cie. rijksbrede takenanalyse: veiligheid en ,1
"broek-laman trip, n.h. (nicoline) van den",staten generaal/eerste kamer,1
"broek-laman trip, n.h. (nicoline) van den",csz/bestuur,1
"broek, h. (hans) van den",rijksoverheid/minister van staat,5
"broek, h. (hans) van den",schiphol/raad van commissarissen,1
"broek, h. (hans) van den",uu (utrecht)/raad van toezicht,1
"brouwer-korf, a.h. (annie)",maatschappij en veiligheid/adviesraad,1
"brouwer-korf, a.h. (annie)",binnenlandse zaken/adviescommissie rechtspositie politieke ambtsdragers,1
"brouwer-korf, a.h. (annie)",rvtv/bestuur,1
"brouwer-korf, a.h. (annie)",reumafonds/bestuur,4
"brouwer-korf, a.h. (annie)",vng/dagelijks bestuur,3
"brouwer-korf, a.h. (annie)",vws/consumentenplatform,1
"brouwer-korf, a.h. (annie)",utrecht/college van b&w,4
"brouwer, h.j. (henk)",rul (leiden)/raad van toezicht,1
"brouwer, h.j. (henk)",uwv/adviesraad,4
"brouwer, h.j. (henk)",dnb/directie,1
"brouwer, h.j. (henk)",buitenlandse zaken/adviesraad internationale vraagstukken/commissie europese integratie,1
"burgmans, a. (antony)",akzo nobel/raad van commissarissen,1
"burgmans, a. (antony)",mauritshuis/raad van toezicht,4
"burgmans, a. (antony)",unilever/raad van commissarissen,4
"burgmans, a. (antony)",nijenrode/stichtingsbestuur,1
"burgmans, a. (antony)",ert/raad,1
"cerfontaine, g.j.n.h. (gerlach)",ndl/raad van toezicht,1
"cerfontaine, g.j.n.h. (gerlach)",vrienden concertgebouw/bestuur,4
"cerfontaine, g.j.n.h. (gerlach)",vws/taskforce handicap en samenleving,1
"cerfontaine, g.j.n.h. (gerlach)",schiphol/directie,5
"cohen, m.j. (job)",vws/taskforce handicap en samenleving,3
"cohen, m.j. (job)",wiardi beckman/curatorium,4
"cohen, m.j. (job)",amsterdam/college van b&w,4
"collee, c.h.a. (dolf)",abn amro/raad van bestuur,1
"collee, c.h.a. (dolf)",bouwfonds/raad van commissarissen,1
"collee, c.h.a. (dolf)",vno-ncw/dagelijks bestuur,1
"collee, c.h.a. (dolf)",ut (twente)/adviesraad,1
"collee, c.h.a. (dolf)",fmo/raad van commissarissen,1
"constandse, b.j. (bart jan)",ser/raad,1
"constandse, b.j. (bart jan)",dnb/bankraad,1
"constandse, b.j. (bart jan)",ser/dagelijks bestuur,1
"constandse, b.j. (bart jan)",lnv/gemengde commissie administratieve lasten,1
"cramer, j.m. (jacqueline)",wnf/raad van toezicht,1
"cramer, j.m. (jacqueline)",ser/raad,1
"cramer, j.m. (jacqueline)",um (maastricht)/raad van toezicht,1
"cramer, j.m. (jacqueline)",economische zaken/adviescommissie duurzame energie,4
"cramer, j.m. (jacqueline)",vrom/commissie voor de milieueffectrapportage: bestuur,1
"cramer, j.m. (jacqueline)",han/raad van toezicht,1
"cramer, j.m. (jacqueline)",fmo/raad van commissarissen,1
"dahan, r. (rené)",vnu/raad van commissarissen,1
"dahan, r. (rené)",tnt/raad van commissarissen,1
"dahan, r. (rené)",ahold/raad van commissarissen,4
"dahan, r. (rené)",aegon/raad van commissarissen,1
"dales, g.d. (geert)",justitie/adviescommissie voor vreemdelingenzaken,1
"dees, d.j.d. (dick)",vws/begeleidingscollege scp,1
"dees, d.j.d. (dick)",staten generaal/eerste kamer,1
"dees, d.j.d. (dick)",sociale zaken/arbo platform nederland,4
"dees, d.j.d. (dick)",zonmw/bestuur,4
"dees, d.j.d. (dick)",ctg/bestuur,1
"dekker, j.a. (jan)",nftw/forum,1
"dekker, j.a. (jan)",asml/raad van commissarissen,1
"dekker, j.a. (jan)",kivi-niria/bestuur,4
"dekker, j.a. (jan)",bam/raad van commissarissen,1
"dekker, m.w. (maarten)",concertgebouw fonds/bestuur,2
"dekker, m.w. (maarten)",concertgebouw fonds/johannes brahms kring,1
"dekker, m.w. (maarten)",van lanschot/raad van commissarissen,3
"dekker, m.w. (maarten)",ihc holland/raad van commissarissen,1
"delden, a.h. (bert) van",nai/bestuur,1
"delden, a.h. (bert) van",dnb/raad van commissarissen,1
"delden, a.h. (bert) van",dnb/bankraad,1
"delden, a.h. (bert) van",de rechtspraak/raad,4
"dijkhuizen, c. (kees) van",kenniscentrum pps/stuurgroep,4
"dijkhuizen, c. (kees) van",financiën/studiegroep begrotingsruimte,4
"dijkstal, h.f. (hans)",binnenlandse zaken/adviescommissie rechtspositie politieke ambtsdragers,1
"dijkstal, h.f. (hans)",vws/taskforce handicap en samenleving,3
"dijkstal, h.f. (hans)",film fonds/bestuur,4
"dijkstal, h.f. (hans)",binnenlandse zaken/advies- en arbitragecommissie,1
"dijkstal, h.f. (hans)",justitie/begeleidingscommissie bibob,1
"dijkstal, h.f. (hans)",hermitage/bestuur,3
"docters van leeuwen, a.w.h. (arthur)",eu/comittee of european securities regulators,4
"donk, w.b.h.j. (wim) van de",algemene zaken/wetenschappelijke raad voor het regeringsbeleid,4
"duijne, j.f. (fokko) van",ser/raad,1
"duijne, j.f. (fokko) van",dnb/raad van commissarissen,4
"duijne, j.f. (fokko) van",opg/raad van commissarissen,4
"duijne, j.f. (fokko) van",tennet/raad van commissarissen,1
"eijndhoven, j.c.m. (josé) van",vsnu/algemeen bestuur,1
"eijndhoven, j.c.m. (josé) van",eur/raad van bestuur,4
"eisma, s.e. (sjoerd)",rabobank groep/raad van commissarissen,1
"eisma, s.e. (sjoerd)",kröller müller/raad van toezicht,4
"eisma, s.e. (sjoerd)",de brauw/bestuur,1
"elverding, p.a.f.w. (peter)",dsm/raad van bestuur,4
"elverding, p.a.f.w. (peter)",vnu/raad van commissarissen,1
"elverding, p.a.f.w. (peter)",um (maastricht)/raad van toezicht,4
"elverding, p.a.f.w. (peter)",dnb/raad van commissarissen,3
"geelhoed, l.a. (ad)",binnenlandse zaken/programma andere overheid; cie. rijksbrede takenanalyse: sturing eu-,1
"geelhoed, l.a. (ad)",eur/raad van toezicht,1
"gonçalves-ho kang you, l.y. (lilian)",binnenlandse zaken/programma andere overheid; cie. rijksbrede takenanalyse: geintegreerd ,1
"gonçalves-ho kang you, l.y. (lilian)",claus fonds/bestuur,4
"gonçalves-ho kang you, l.y. (lilian)",concertgebouw nv/raad van commissarissen,1
"gonçalves-ho kang you, l.y. (lilian)",nieuwe kerk/bestuur,1
"gonçalves-ho kang you, l.y. (lilian)",economische zaken/college,1
"gonçalves-ho kang you, l.y. (lilian)",cbp/adviesraad,1
"goorbergh, w.m. (wim) van den",nexus/raad van toezicht,4
"goorbergh, w.m. (wim) van den",bng/raad van commissarissen,1
"goorbergh, w.m. (wim) van den",radboud universiteit/stichtingsbestuur,1
"goorbergh, w.m. (wim) van den",financiën/commissie modernisering beleggingsinstellingen,1
"goorbergh, w.m. (wim) van den",nibc bank nv/raad van commissarissen,1
"goorbergh, w.m. (wim) van den",economische zaken/programma commissie mkb en ondernemerschap,1
"graaf, t. (ton) van de",dnb/raad van commissarissen,1
"graaf, t. (ton) van de",dnb/bankraad,1
"groenink, r.w.j. (rijkman)",nijenrode/internationale adviesraad,1
"groenink, r.w.j. (rijkman)",stadsherstel amsterdam/raad van commissarissen,1
"groenink, r.w.j. (rijkman)",conference board/international council,2
"groenink, r.w.j. (rijkman)",abn amro/raad van bestuur,4
"groenink, r.w.j. (rijkman)",stedelijk museum amsterdam/raad van toezicht,4
"groenink, r.w.j. (rijkman)","rembrandt, vereniging/adviesraad",1
"groenman, l.s. (louise)",aidsfonds/raad van toezicht,4
"groenman, l.s. (louise)",abn amro/raad van commissarissen,1
"gunning-schepers, l.j. (louise)",arbo unie/raad van commissarissen,1
"gunning-schepers, l.j. (louise)",amc/raad van bestuur,4
"halberstadt, v. (victor)",tnt/raad van commissarissen,1
"halberstadt, v. (victor)",concertgebouw fonds/johannes brahms kring,1
"halberstadt, v. (victor)",concertgebouw nv/raad van commissarissen,1
"halberstadt, v. (victor)",nexus/adviesraad,1
"halberstadt, v. (victor)",opera/bestuur,1
"halberstadt, v. (victor)",kpn/raad van commissarissen,1
"harchaoui, s. (sadik)",rode kruis/bestuur,1
"harchaoui, s. (sadik)",forum/raad van bestuur,4
"harchaoui, s. (sadik)",vws/raad voor maatschappelijke ontwikkeling,1
"harchaoui, s. (sadik)",nps/bestuur,1
"harchaoui, s. (sadik)",sociale zaken/taskforce jeugdwerkloosheid,1
"harchaoui, s. (sadik)",binnenlandse zaken/programmaraad lecd,1
"harst, m.c. (mich) van der",vno-ncw/dagelijks bestuur,1
"harst, m.c. (mich) van der",tln/dagelijks bestuur,4
"harst, m.c. (mich) van der",ndl/bestuur,1
"havermans, a.j.e. (ad)",binnenlandse zaken/adviescommissie rechtspositie politieke ambtsdragers,1
"havermans, a.j.e. (ad)",financiën/audit committee financiën,1
"hazewinkel, h.j. (herman)",ut (twente)/adviesraad,1
"hazewinkel, h.j. (herman)","baak, de/bestuur",1
"hazewinkel, h.j. (herman)",rabobank groep/adviesraad,1
"heemskerk, h. (bert)",rabobank groep/raad van bestuur,4
"heerts, a.j.m. (ton)",ser/raad,1
"heerts, a.j.m. (ton)",fnv/bestuur,3
"heerts, a.j.m. (ton)",ser/dagelijks bestuur,1
"heerts, a.j.m. (ton)",sociale zaken/arbo platform nederland,1
"heijden, p.f. (paul) van der",ing groep/raad van commissarissen,1
"heijden, p.f. (paul) van der",nuon/raad van commissarissen,1
"heijden, p.f. (paul) van der",amc/raad van toezicht,1
"heijden, p.f. (paul) van der",binnenlandse zaken/advies- en arbitragecommissie,1
"heijden, p.f. (paul) van der",vsnu/presidium,1
"heijden, p.f. (paul) van der",hva/college,1
"heijden, p.f. (paul) van der",uva/college van bestuur,4
"heijden, p.f. (paul) van der",nki/raad van commissarissen,1
"heijden, p.f. (paul) van der",defensie/college geschillen medezeggenschap defensie (cgmd),1
"hendrikx, j.a.m. (jan)",bng/raad van commissarissen,3
"hendrikx, j.a.m. (jan)",essent/raad van commissarissen,3
"hendrikx, j.a.m. (jan)",justitie/stuurgroep evaluatie politieorganisatie,1
"hendrikx, j.a.m. (jan)",verkeer&waterstaat/overlegorgaan goederenvervoer,4
"hendrikx, j.a.m. (jan)",rvtv/bestuur,1
"hendrikx, j.a.m. (jan)",binnenlandse zaken/programma andere overheid; cie. rijksbrede takenanalyse: bestuurlijke ,1
"hendrikx, j.a.m. (jan)",binnenlandse zaken/programma andere overheid; cie. rijksbrede takenanalyse: gevaarlijke ,1
"herkströter, c.a.j. (cor)",ing groep/raad van commissarissen,4
"herkströter, c.a.j. (cor)",dsm/raad van bestuur,4
"herkströter, c.a.j. (cor)",financiën/commissie kapitaalmarkt,1
"hermans, l.m.l.h.a. (loek)",ser/raad,1
"hermans, l.m.l.h.a. (loek)",binnenlandse zaken/adviescommissie coordinatie ict rampenbestrijding,4
"hermans, l.m.l.h.a. (loek)",dnb/bankraad,1
"hermans, l.m.l.h.a. (loek)",boer & croon/??,1
"hermans, l.m.l.h.a. (loek)",vws/taskforce handicap en samenleving,1
"hermans, l.m.l.h.a. (loek)",ser/dagelijks bestuur,1
"hermans, l.m.l.h.a. (loek)",nvao/algemeen bestuur,1
"hermans, l.m.l.h.a. (loek)",mkb/bestuur,4
"hermans, l.m.l.h.a. (loek)",binnenlandse zaken/voorselectie commissie topmanagement abd,4
"hermans, l.m.l.h.a. (loek)",binnenlandse zaken/commissie evaluatie provinciale dualisering,4
"hermans, l.m.l.h.a. (loek)",sociale zaken/arbo platform nederland,1
"hessels, j.m. (jan michiel)",euronext/raad van commissarissen,4
"hessels, j.m. (jan michiel)",historische buitenplaatsen/raad van toezicht,4
"hessels, j.m. (jan michiel)",fortis/raad van commissarissen,1
"hessels, j.m. (jan michiel)",heineken/raad van commissarissen,1
"hessels, j.m. (jan michiel)",philips/raad van commissarissen,1
"hessels, j.m. (jan michiel)",schiphol/raad van commissarissen,1
"hoek, n.w. (niek)",stadsherstel amsterdam/raad van commissarissen,1
"hoek, n.w. (niek)",vno-ncw/dagelijks bestuur,1
"hoek, n.w. (niek)",dnb/bankraad,1
"hoek, n.w. (niek)",delta lloyd/raad van bestuur,4
"hoek, n.w. (niek)",verbond van verzekeraars/bestuur,4
"hoek, n.w. (niek)",nibc bank nv/raad van commissarissen,1
"hoek, p.c. (paul) van den",financiën/commissie kapitaalmarkt,1
"hoek, p.c. (paul) van den",euronext/raad van commissarissen,1
"hoek, p.c. (paul) van den",buhrmann/raad van commissarissen,4
"hoek, p.c. (paul) van den",asmi/raad van commissarissen,4
"hoek, p.c. (paul) van den",robeco groep/raad van commissarissen,4
"hoek, p.c. (paul) van den",financieele dagblad/raad van bestuur,4
"hoek, p.c. (paul) van den",justitie/commissie vennootschapsrecht,1
"hoek, p.c. (paul) van den",nai/bestuur,1
"hoek, p.c. (paul) van den",stibbe/directie,1
"hoekstra, r.j. (rein jan)",raad van state/raad,1
"hoekstra, r.j. (rein jan)",binnenlandse zaken/advies- en arbitragecommissie,1
"hoekstra, r.j. (rein jan)",rug/raad van toezicht,1
"hoekstra, r.j. (rein jan)",wetenschappelijk instituut/bestuur,4
"hoekstra, r.j. (rein jan)",justitie/visitatiecommissie wetgeving,4
"hoekstra, r.j. (rein jan)",justitie/commissie opleidingsvereisten juridische beroepen,1
"hommen, j.h.m. (jan)",ing groep/raad van commissarissen,1
"hommen, j.h.m. (jan)",tnt/raad van commissarissen,4
"hommen, j.h.m. (jan)",reed elsevier/raad van commissarissen,4
"hommen, j.h.m. (jan)",azm/raad van toezicht,4
"hommen, j.h.m. (jan)",ahold/raad van commissarissen,3
"hondt, e.m. (ed) d'",vsnu/algemeen bestuur,4
"hondt, e.m. (ed) d'",rode kruis/bestuur,3
"hondt, e.m. (ed) d'",han/raad van toezicht,1
"hondt, e.m. (ed) d'",maatschappij en veiligheid/bestuur,1
"hondt, e.m. (ed) d'",vsnu/presidium,4
"hondt, e.m. (ed) d'",financiën/ketenberaad project xbrl,1
"hovers, j.c.m. (jan)",economische zaken/regieraad bouw,4
"hovers, j.c.m. (jan)",uvt (tilburg)/stichtingsbestuur,3
"hovers, j.c.m. (jan)",randstad/raad van commissarissen,1
"jaakke, j.c. (john)",lnv/commissie schadebepaling kokkelvisserij,1
"jaakke, j.c. (john)",ajax/raad van commissarissen,4
"jaakke, j.c. (john)",boer & croon/??,1
"jacobs, a.g. (aad)",financiën/commissie kapitaalmarkt,1
"jacobs, a.g. (aad)",vnu/raad van commissarissen,4
"jacobs, a.g. (aad)",beatrixfonds/bestuur,1
"jacobs, a.g. (aad)",kunstbezit/raad van toezicht,1
"jacobs, a.g. (aad)",nijenrode/internationale adviesraad,1
"jansen, g.j. (geert)",ut (twente)/adviesraad,1
"jansen, g.j. (geert)",unicef/raad van toezicht,1
"jansen, g.j. (geert)",verkeer&waterstaat/raad voor verkeer en waterstaat,4
"jansen, g.j. (geert)",lnv/bestuur innovatienetwerk groene ruimte en agrocluster,1
"jansen, g.j. (geert)",overijssel/commissaris van de koningin,4
"jong, j.m. (jan maarten) de",concertgebouw fonds/johannes brahms kring,1
"jong, j.m. (jan maarten) de",heineken/raad van commissarissen,3
"jongerius, a.m. (agnes)",ser/raad,1
"jongerius, a.m. (agnes)",dnb/bankraad,1
"jongerius, a.m. (agnes)",fnv/bestuur,4
"jongerius, a.m. (agnes)",ser/dagelijks bestuur,1
"jongerius, a.m. (agnes)",hivos/raad van toezicht,1
"jonkhart, m.j.l. (marius)",lnv/commissie schadebepaling kokkelvisserij,1
"jonkhart, m.j.l. (marius)",dnb/raad van commissarissen,1
"kalff, p.j. (jan)",nki/raad van toezicht,2
"kalff, p.j. (jan)",concertgebouw fonds/bestuur,1
"kalff, p.j. (jan)",concertgebouw fonds/johannes brahms kring,1
"kalff, p.j. (jan)",concertgebouw nv/raad van commissarissen,1
"kalff, p.j. (jan)",schiphol/raad van commissarissen,4
"kalff, p.j. (jan)",stork/raad van commissarissen,4
"kalff, p.j. (jan)",stichting vnu/bestuur,1
"kalff, p.j. (jan)",conference board/international council,2
"kamminga, j. (jan)",ser/raad,1
"kamminga, j. (jan)",vno-ncw/dagelijks bestuur,1
"kamminga, j. (jan)",unicef/raad van toezicht,1
"kamminga, j. (jan)",fme-cwm/bestuur,4
"kamminga, j. (jan)",ncd/bestuur,1
"kesteren, n.j.j. (niek-jan) van",ncw/bestuur,1
"kesteren, n.j.j. (niek-jan) van",ser/dagelijks bestuur,1
"kesteren, n.j.j. (niek-jan) van",sociale zaken/taskforce jeugdwerkloosheid,1
"kesteren, n.j.j. (niek-jan) van",vno-ncw/directie,1
"kist, a.w. (anne willem)",veerstichting/raad van toezicht,1
"kist, e. (ewald)",philips/raad van commissarissen,1
"kist, e. (ewald)",dsm/raad van commissarissen,1
"kist, e. (ewald)",dnb/raad van commissarissen,1
"kleisterlee, g.j. (gerard)",ert/raad,1
"kleisterlee, g.j. (gerard)",tue/raad van toezicht,4
"kleisterlee, g.j. (gerard)",algemene zaken/innovatieplatform,1
"kleisterlee, g.j. (gerard)",philips/raad van bestuur,5
"kok, w. (wim)",ing groep/raad van commissarissen,1
"kok, w. (wim)",nki/raad van toezicht,4
"kok, w. (wim)",anne frank/raad van toezicht,4
"kok, w. (wim)","rijksmuseum, het/raad van toezicht",3
"kok, w. (wim)",muziektheater/raad van toezicht,1
"kok, w. (wim)",nationale ballet/raad van toezicht,1
"kok, w. (wim)",royal dutch shell/supervisory board,1
"kok, w. (wim)",tnt/raad van commissarissen,1
"kok, w. (wim)",klm/raad van commissarissen,1
"kok, w. (wim)",rijksoverheid/minister van staat,5
"kok, w. (wim)",eu/commissie,2
"koopmans, l. (lense)",nuon/raad van commissarissen,1
"koopmans, l. (lense)",ubbo emmius (groningen)/bestuur,1
"koopmans, l. (lense)",rabobank groep/raad van commissarissen,4
"koopmans, l. (lense)",tno/raad van toezicht,1
"koopmans, l. (lense)",cordares/raad van commissarissen,4
"korthals altes, f. (frits)",rijksoverheid/minister van staat,5
"korthals altes, f. (frits)",staatsloterij/raad van commissarissen,4
"korthals altes, f. (frits)",buitenlandse zaken/adviesraad internationale vraagstukken,4
"korthals altes, f. (frits)",binnenlandse zaken/referendumcommissie,1
"kottman, r.h.p.w. (rené)",stichting vnu/bestuur,1
"kottman, r.h.p.w. (rené)",staatsloterij/raad van commissarissen,1
"kottman, r.h.p.w. (rené)",ballast nedam/raad van bestuur,4
"kottman, r.h.p.w. (rené)",delta lloyd/raad van commissarissen,1
"kramer, g.j. (gert-jan)",concertgebouw fonds/bestuur,1
"kramer, g.j. (gert-jan)",concertgebouw fonds/gustav mahler kring,1
"kramer, g.j. (gert-jan)",bam/raad van commissarissen,4
"kramer, g.j. (gert-jan)",tno/raad van toezicht,1
"kramer, g.j. (gert-jan)",abn amro/adviesraad,1
"kramer, g.j. (gert-jan)",tud/raad van toezicht,4
"kramer, g.j. (gert-jan)",financiën/monitoring commissie coporate governance,1
"kuiper, j.ch.l. (joost)",amsterdams historisch/bestuur,1
"kuiper, j.ch.l. (joost)",nationale ballet/bestuur,4
"kuiper, j.ch.l. (joost)",mondriaan stichting/bestuur,2
"kuiper, j.ch.l. (joost)",prins bernhard cultuurfonds/raad van toezicht,2
"kuiper, j.ch.l. (joost)",abn amro/raad van bestuur,1
"kuiper, j.ch.l. (joost)",muziektheater/bestuur,1
"kuiper, j.ch.l. (joost)",nvb/bestuur,1
"kuiper, j.ch.l. (joost)",kamer van koophandel (us)/board,1
"kuiper, j.ch.l. (joost)",nexus/raad van toezicht,1
"kuiper, j.ch.l. (joost)",bouwfonds/raad van commissarissen,1
"kuipers, s.k. (simon)",vsnu/algemeen bestuur,1
"kuipers, s.k. (simon)",nftw/forum,1
"kuipers, s.k. (simon)",ubbo emmius (groningen)/bestuur,1
"kuipers, s.k. (simon)",rug/college van bestuur,4
"lede, c.j.a. (kees) van",akzo nobel/raad van commissarissen,1
"lede, c.j.a. (kees) van",heineken/raad van commissarissen,4
"lede, c.j.a. (kees) van",philips/raad van commissarissen,1
"lede, c.j.a. (kees) van",reed elsevier/raad van commissarissen,1
"lede, c.j.a. (kees) van",conference board/international council,2
"lede, c.j.a. (kees) van",air france-klm/raad van commissarissen,1
"lede, c.j.a. (kees) van",het loo/raad van toezicht,1
"lede, c.j.a. (kees) van",sos/adviesraad,1
"lede, c.j.a. (kees) van",wpf/bestuur,1
"lede, c.j.a. (kees) van",binnenlandse zaken/adviescommissie rechtspositie politieke ambtsdragers,1
"lede, c.j.a. (kees) van",binnenlandse zaken/programma andere overheid; cie. rijksbrede takenanalyse: sturing eu-,1
"lede, c.j.a. (kees) van",hoge veluwe/raad van toezicht,1
"leemhuis-stout, j.m. (joan)",vno-ncw/dagelijks bestuur,1
"leemhuis-stout, j.m. (joan)",tno/raad van toezicht,1
"leemhuis-stout, j.m. (joan)",nvz/bestuur,4
"leemhuis-stout, j.m. (joan)",justitie/stuurgroep evaluatie politieorganisatie,4
"leenaars, c.p.a.j. (eli)",nvb/bestuur,3
"leenaars, c.p.a.j. (eli)",vno-ncw/dagelijks bestuur,1
"leenaars, c.p.a.j. (eli)",ing groep/raad van bestuur,1
"leeuw, r. (ronald) de",stadsherstel amsterdam/raad van commissarissen,1
"leeuw, r. (ronald) de","rembrandt, vereniging/bestuur",1
"leeuw, r. (ronald) de",nexus/adviesraad,1
"leeuw, r. (ronald) de","rijksmuseum, het/directie",1
"leeuwen, j. (hannie) van",staten generaal/eerste kamer,1
"leeuwen, j. (hannie) van",vws/taskforce handicap en samenleving,4
"leeuwen, j. (hannie) van",npcf/bestuur,1
"leeuwen, j. (hannie) van",sociale zaken/regiegroep grijs werkt,1
"leijnse, f. (frans)",algemene zaken/innovatieplatform,1
"leijnse, f. (frans)",staten generaal/eerste kamer,1
"leijnse, f. (frans)",ocw/committee review degrees (internationale commissie),1
"leijnse, f. (frans)",cordares/raad van commissarissen,3
"lemstra, w. (wolter)",staten generaal/eerste kamer,1
"lemstra, w. (wolter)",binnenlandse zaken/programma andere overheid: takenanalyse departementale ,1
"lemstra, w. (wolter)",vrom/commissie voor de milieueffectrapportage: bestuur,1
"lemstra, w. (wolter)",defensie/commissie lemstra,4
"lemstra, w. (wolter)",verkeer&waterstaat/commissie stedelijke distributie,4
"lemstra, w. (wolter)",binnenlandse zaken/commissie innovatie openbaaar bestuur,1
"lier lels, m.e. (marike) van",algemene zaken/innovatieplatform,1
"lier lels, m.e. (marike) van",kpn/raad van commissarissen,1
"lier lels, m.e. (marike) van","baak, de/bestuur",1
"linschoten, r.l.o. (robin)",ser/raad,1
"linschoten, r.l.o. (robin)",ser/dagelijks bestuur,1
"linschoten, r.l.o. (robin)",financiën/adviescollege toetsing administratie lasten,4
