source,target,value
r.joosten,b.torenvliet,2
b.torenvliet,r.joosten,2
a.forster,b.torenvliet,2
b.torenvliet,a.forster,2
w.schakel,b.torenvliet,1
w.schakel,b.torenvliet,1
m.vanroeden,b.torenvliet,2
b.torenvliet,m.vanroeden,2
i.jonnson,b.torenvliet,1
b.torenvliet,i.jonsson,1
m.vanhees,b.torenvliet,2
b.torenvliet,m.vanhees,1
a.hakhverdian,b.torenvliet,2
b.torenvliet,a.hakhverdian,1
t.vandermeer,b.torenvliet,2
b.torenvliet,t.vandermeer,1
l.deblok,b.torenvliet,1
b.torenvliet,l.deblok,1
t.stork,b.torenvliet,1
b.torenvliet,t.stork,1
r.vliegenthart,b.torenvliet,2
b.torenvliet,r.vliegenthart,1
l.bos,b.torenvliet,1
b.torenvliet,l.bos,1
s.steinmetz,b.torenvliet,2
b.torenvliet,s.steinmetz,1
p.tolochko,h.terpstra,2
h.terpstra,p.tolochko,1
p.tolochko,c.mihu,1
c.mihu,p.tolochko,1
p.verlegh,p.tolochko,2
d.trilling,p.tolochko,2
d.muntinga,ptolochko,2
s.zwier,p.tolochko,2
m.vandergoot,p.tolochko,1
p.tolochko,m.vandergoot,1
p.tolochko,y.tolochko,2
y.tolochko,p.tolochko,2
d.ottaviano,p.tolochko,1
p.tolochko,d.ottaviano,1
e.hilhorst,p.tolochko,1
p.tolochko,e.hilhorst,1
t.egei,p.tolochko,2
p.tolochko,t.egei,2
p.tolochko,c.coenen,2
p.tolochko,a.ash,1
e.dejong,p.tolochko,1
p.tolochko,e.dejong,1
w.schakel,m.vanroeden,2
m.vanroeden,w.schakel,2
w.schakel,r.joosten,1
r.joosten,w.schakel,2
w.schakel,a.forster,1
a.forster,w.schakel,1
a.damstra,w.schakel,1
w.schakel,n.baerwaldt,2
s.vaniterson,w.schakel,1
t.stork,w.schakel,1
w.schakel,a.hakhverdian,1
w.schakel,a.ruggeri,2
w.schakel,s.steinmetz,1
m.chochlik,e.engelen,1
m.chochlik,j.bader,1
m.chochlik,a.ruggeri,2
a.ruggeri,m.chochlik,2
m.chochlik,n.hearter,1
m.chochlik,j.zeitlin,2
j.zeitlin,m.chochlik,2
m.chochlik,t.harris,1
m.chochlik,s.steinmetz,1
j.maloney,m.chochlik,2
m.chochlik,j.maloney,2
m.loubarink,m.chochlik,2
m.loubarink,m.chochlik,2
m.chochlik,b.vangunst,2
b.vangunst,m.chochlik,2
r.necesany,m.chochlik,2
z.laslopova,m.chochlik,2
m.chochlik,z.laslopova,2
m.chochlik,p.brown,2
p.brown,m.chochlik,2
a.damstra,m.chochlik,1
m.vanroeden,m.chochlik,2
s.vaniterson,m.chochlik,2
m.chochlik,s.vaniterson,1
t.stork,m.chochlik,2
t.koren,m.chochlik,1




